Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population,Total Tests,Tests/1 mil population,Population
Anguilla,1137,4,1053,80,74872,263,51382,3383511,15186
Antigua and Barbuda,4118,107,3902,109,41580,1080,17782,179545,99039
Aruba,16083,172,15767,144,149767,1602,177885,1656485,107387
Bahamas,22572,665,21512,395,56659,1669,161654,405772,398386
Barbados,22093,193,13639,8261,76750,670,413900,1437867,287857
Belize,28899,534,26418,1947,70919,1310,327639,804032,407495
Bermuda,5708,106,5544,58,92119,1711,618779,9986266,61963
British Virgin Islands,2725,37,2649,39,89327,1213,82570,2706681,30506
Canada,1748391,29337,1693037,26017,45775,768,47295997,1238277,38194992
Caribbean Netherlands,2628,21,2498,109,98957,791,28170,1060737,26557
Cayman Islands,4203,2,1352,2849,62940,30,139740,2092605,66778
Costa Rica,564159,7197,524560,32402,109380,1395,2575363,499317,5157771
Cuba,958738,8282,948649,1807,84716,732,10797376,954072,11317148
Curaçao,17225,175,16952,98,104386,1061,320471,1942107,165012
Dominica,5336,35,4937,364,73874,485,99809,1381803,72231
Dominican Republic,395856,4170,387191,4495,35998,379,2328687,211761,10996753
El Salvador,117884,3728,100780,13376,18050,571,1405684,215232,6531007
Greenland,990,,870,120,17397,,95490,1678060,56905
Grenada,5863,200,5601,62,51776,1766,85110,751609,113237
Guadeloupe,54920,745,2250,51925,137225,1861,536488,1340489,400218
Guatemala,610004,15714,591720,2570,33209,855,3014180,164095,18368545
Haiti,24543,708,20675,3160,2117,61,132422,11423,11592672
Honduras,376967,10353,117912,248702,37250,1023,1106625,109350,10119996
Jamaica,90209,2327,60594,27288,30283,781,656031,220229,2978861
Martinique,43881,700,104,43077,117058,1867,396573,1057906,374866
Mexico,3845733,291147,3206890,347696,29405,2226,11596638,88669,130786118
Montserrat,41,1,40,0,8207,200,1408,281825,4996
Nicaragua,16877,207,4225,12445,2507,31,,,6732371
Panama,474621,7343,465473,1805,107681,1666,4140481,939388,4407639
Saint Kitts and Nevis,2749,27,2649,73,51178,503,54672,1017835,53714
Saint Lucia,12835,269,12308,258,69462,1456,89892,486492,184776
Saint Martin,3872,56,1399,2417,97859,1415,54303,1372432,39567
Sint Maarten,4532,75,4428,29,104083,1722,62056,1425199,43542
St. Barth,1589,6,462,1121,160214,605,38369,3868623,9918
St. Vincent Grenadines,5270,71,3978,1221,47298,637,88213,791702,111422
Trinidad and Tobago,62267,1858,53578,6831,44296,1322,413488,294152,1405693
Turks and Caicos,3045,23,2966,56,77220,583,94789,2403799,39433
USA,47916190,783565,37918301,9214324,143608,2348,720805103,2160301,333659530
